epoch,acc,loss,val_acc,val_loss
0,0.087272726,2.398686389056119,0.089090906,2.3981980063698507
1,0.09090909,2.398150911331177,0.08227273,2.3984890417619185
2,0.08784091,2.3980860276655718,0.08227273,2.3986069254441693
3,0.08988637,2.398044411919334,0.08227273,2.398754639192061
4,0.09090909,2.398095074566928,0.09045455,2.401680527600375
5,0.08886363,2.398476410779086,0.08227273,2.3987182140350343
6,0.08840909,2.398117352398959,0.08227273,2.3987332352724944
7,0.09306818,2.3980425505204632,0.08227273,2.3986859547008166
8,0.087272726,2.3980827461589467,0.08227273,2.3987828653508965
9,0.09136364,2.3980786861072887,0.085454546,2.398758771202781
10,0.09102273,2.398037535060536,0.08227273,2.398918551531705
11,0.08931818,2.3980165030739524,0.08227273,2.3988645787672565
12,0.089090906,2.3980151679299095,0.08227273,2.3988795765963467
13,0.09034091,2.3980176882310347,0.08227273,2.398865270614624
14,0.09306818,2.398041315945712,0.08227273,2.398988283330744
15,0.09306818,2.398041186766191,0.08227273,2.3989374498887495
16,0.09215909,2.398024974302812,0.08227273,2.3988948206468064
17,0.089431815,2.398016275059093,0.08227273,2.3989182446219703
18,0.09102273,2.3980547332763673,0.08227273,2.398873683756048
19,0.08863636,2.3980206082083964,0.08227273,2.3989513700658627
20,0.089090906,2.3980444370616567,0.08227273,2.399020624160767
21,0.09045455,2.398005547956987,0.08227273,2.3990661282972856
22,0.09306818,2.3980093184384432,0.08227273,2.399012272574685
23,0.09136364,2.3980460678447377,0.08227273,2.3988857971538198
24,0.09306818,2.398025506626476,0.08227273,2.398821327036077
