epoch,acc,loss,val_acc,val_loss
0,0.39545456,1.4861161427064375,0.44545454,1.2959100792624734
1,0.5097727,1.1964122607491232,0.57363635,1.0387429224361073
2,0.6118182,0.9395146970315413,0.6968182,0.7434594472971829
3,0.70204544,0.6700259641083804,0.7318182,0.6180227303504944
4,0.7469318,0.5256581087545915,0.7945455,0.47057922580025413
5,0.78761363,0.4271391651305285,0.78,0.43049273805184796
6,0.8093182,0.3833802572976459,0.78818184,0.47807015841657463
7,0.8092045,0.3719207600030032,0.83454543,0.3832059285857461
8,0.8238636,0.3471970039064234,0.8213636,0.37692067157138476
9,0.8213636,0.36057741837068036,0.81545454,0.41738110477274115
10,0.84829545,0.2929394387386062,0.76272726,0.6959052319960161
11,0.84511364,0.3068642544475469,0.835,0.3714099699800665
12,0.8625,0.27083178991621193,0.83181816,0.38608757853507997
13,0.85568184,0.28505561701276083,0.8486364,0.38055999766696585
14,0.8719318,0.25205560407855293,0.83863634,0.3977761708606373
15,0.87295455,0.24640580819411712,0.81454545,0.4453654046492143
16,0.8625,0.27704499102451585,0.83590907,0.41688635674389923
17,0.88852274,0.2182878182422031,0.84909093,0.43173981623216107
18,0.87875,0.24833895494992084,0.78318185,0.6570681474425576
19,0.89079547,0.22383572228930212,0.825,0.4961081208965995
20,0.8822727,0.2409521443193609,0.78636366,0.588796136379242
21,0.8980682,0.20370976526628842,0.84818184,0.45348796259273183
22,0.90272725,0.19671219837936488,0.8540909,0.5132901590520685
23,0.90977275,0.18588427928361026,0.8545455,0.48659706820141185
24,0.9202273,0.1635383812609044,0.8413636,0.5218894533677535
