epoch,acc,loss,val_acc,val_loss
0,0.39329547,1.4339140827005559,0.42318183,1.2490651028806512
1,0.52511364,1.1145892557230863,0.5477273,1.0309341367808256
2,0.59102273,0.951594551043077,0.5263636,1.0889890150590376
3,0.5985227,0.9260494147647511,0.58681816,0.9498014018752358
4,0.6165909,0.8831873160058802,0.5509091,1.0333668782494285
5,0.64420456,0.8393493914604186,0.58272725,0.9825833023678173
6,0.6586364,0.791783943826502,0.59636366,0.9061052064462142
7,0.68295455,0.7478002333641052,0.58772725,0.9686343162710016
8,0.70420456,0.7108622041615573,0.5881818,0.9336834413355047
9,0.7296591,0.6520556209304116,0.5968182,0.9807668880982833
10,0.75363636,0.604009321494536,0.58363634,1.0890668244795365
11,0.7861364,0.5323759978467768,0.5872727,1.1044076306169683
12,0.8122727,0.4740898460149765,0.6036364,1.129130856557326
13,0.8389773,0.41259886329824275,0.5922727,1.3311218350583858
14,0.8690909,0.3453118995102969,0.5713636,1.4917244872179898
15,0.89,0.29859981601888486,0.585,1.570790777423165
16,0.9244318,0.21635745923627506,0.5740909,1.9880295406688344
17,0.9471591,0.1504030256921595,0.5895454,2.0281023597717285
18,0.95204544,0.14045367364179004,0.58,2.4209120919487694
19,0.95193183,0.13893071011047473,0.56954545,2.2874781374497846
20,0.97579545,0.08811612998220053,0.57545453,2.69172663601962
21,0.9796591,0.07587206171656197,0.57454544,2.8223121469671075
22,0.97795457,0.07260472601110285,0.59181815,2.884185099168257
23,0.9805682,0.06162626375782896,0.5809091,3.0252224731445314
24,0.98647726,0.044816063296219164,0.5568182,3.1784852118925615
