epoch,acc,loss,val_acc,val_loss
0,0.24181817,1.9929956288771196,0.48045453,1.2475780621441928
1,0.50943184,1.1439971943335099,0.62045455,0.9750339356335727
2,0.57875,0.9488117469440807,0.61636364,0.8858470396562056
3,0.6167045,0.8723165778680281,0.66227275,0.801516814882105
4,0.6429545,0.7898134852539409,0.66818184,0.760470544424924
5,0.67806816,0.7271796361966567,0.6727273,0.7702831062403592
6,0.6923864,0.6898107877644626,0.725,0.667173103202473
7,0.6921591,0.6809889809651808,0.7318182,0.6358865482156927
8,0.6792045,0.7726224112510681,0.6677273,0.7863073483380404
9,0.70681816,0.6624441530487755,0.72318184,0.6525499159639532
10,0.73454547,0.5913526378978382,0.7059091,0.6452202484824441
11,0.73829544,0.5669809273156253,0.7113636,0.6602232551574707
12,0.74625,0.5573326916044409,0.74863636,0.584921045520089
13,0.7628409,0.5172716550393538,0.7609091,0.560074558691545
14,0.7690909,0.4962545951929959,0.7440909,0.5629076810316606
15,0.7715909,0.4908882466771386,0.77272725,0.5569085491787303
16,0.74397725,0.6009593265706843,0.765,0.5405632734298706
17,0.7721591,0.48774395156990397,0.76545453,0.5153292634270408
18,0.7825,0.4589001445878636,0.76545453,0.5331100897355513
19,0.7945455,0.4336352082274177,0.77363634,0.5569000697135925
20,0.7959091,0.41712458740581165,0.77590907,0.5292701038447294
21,0.78579545,0.44184638077562505,0.7659091,0.4970119771090421
22,0.7935227,0.4205216442454945,0.7081818,0.6741364511576566
23,0.7928409,0.4122410233996131,0.79727274,0.47214194146069616
24,0.8081818,0.3891281192411076,0.785,0.47781517971645704
