epoch,acc,loss,val_acc,val_loss
0,0.08897727,2.39857439474626,0.085,2.3983982597697864
1,0.08568182,2.398102996999567,0.084545456,2.398625633066351
2,0.089090906,2.3980709448727695,0.084545456,2.3986974343386565
3,0.090227276,2.3980165845697576,0.084545456,2.3988623280958694
4,0.08568182,2.3980063689838755,0.084545456,2.398896528590809
5,0.09102273,2.3980064071308482,0.084545456,2.398979134126143
6,0.09284091,2.3980083326859907,0.085,2.3989965681596237
7,0.08931818,2.3980421283028344,0.084545456,2.399003440683538
8,0.08772727,2.3980209506641734,0.085,2.3989123049649326
9,0.08375,2.3980484520305287,0.084545456,2.399075959812511
10,0.089431815,2.398019099669023,0.085,2.3990669285167345
11,0.08784091,2.3980118664828214,0.084545456,2.3991806316375732
12,0.09159091,2.397994890213013,0.084545456,2.3989798381111838
13,0.08477273,2.3979978414015335,0.084545456,2.3990740715373646
14,0.08886363,2.3980115231600676,0.084545456,2.3990487731586803
15,0.08886363,2.3980007223649458,0.084545456,2.39906644561074
16,0.0925,2.3980564282157206,0.084545456,2.3991073356975208
17,0.08409091,2.3980045188557018,0.084545456,2.3990676697817714
18,0.084545456,2.397981540506536,0.085,2.399037725275213
19,0.09193182,2.3979835432226007,0.084545456,2.3989848778464578
20,0.08715909,2.3980425444516267,0.084545456,2.39900708545338
21,0.08693182,2.397993918332187,0.084545456,2.3991420303691515
22,0.087272726,2.3980134495821868,0.084545456,2.399193192395297
23,0.0925,2.3979904807697645,0.084545456,2.399106975902211
24,0.091136366,2.398003322427923,0.085,2.3991134964336047
