epoch,acc,loss,val_acc,val_loss
0,0.225,2.025050998167558,0.45045453,1.2629356119849464
1,0.47954544,1.195493182702498,0.49772727,1.1290248257463629
2,0.5270454,1.0802459489215503,0.5477273,1.015336706204848
3,0.5823864,0.937509400844574,0.61,0.8971426103331825
4,0.61045456,0.868633965362202,0.65590906,0.8077948013218966
5,0.63522726,0.8126530105417425,0.66,0.7970013278180903
6,0.6580682,0.7691421575979753,0.6259091,0.8310052214969288
7,0.67136365,0.7468171694061972,0.67136365,0.7563685456189242
8,0.6645455,0.7428478397022594,0.69954544,0.7120587372779846
9,0.7053409,0.6621262670647015,0.7009091,0.7054357129877263
10,0.71738636,0.6218548461523923,0.7013636,0.7112322536381808
11,0.72920454,0.6174294987591831,0.7104545,0.6798753649538214
12,0.7385227,0.5942875903302973,0.7204546,0.6430405402183532
13,0.7406818,0.5793626572869041,0.7318182,0.6305211797627536
14,0.75545454,0.5461576871438459,0.7154545,0.6474936112490567
15,0.76113635,0.5250360158356753,0.7040909,0.6733781750635667
16,0.76511365,0.5279165797341954,0.7063636,0.641449682929299
17,0.76125,0.529455707560886,0.7309091,0.6356100961295041
18,0.7794318,0.4834568455002525,0.7459091,0.6001400158622048
19,0.7753409,0.49557466864585875,0.70454544,0.6896272221478549
20,0.78875,0.4728487638993697,0.6959091,0.785932460047982
21,0.78875,0.45849953770637514,0.7268182,0.6384646443887191
22,0.80136365,0.4334049322388389,0.73636365,0.6576979224248366
23,0.7915909,0.45204017200253227,0.71090907,0.6729935964671048
24,0.8056818,0.4387738264690746,0.7268182,0.6644713709571145
