epoch,acc,loss,val_acc,val_loss
0,0.08965909,2.3989626199548897,0.08409091,2.398304589878429
1,0.08625,2.3981622461839156,0.08090909,2.398818720037287
2,0.08875,2.3980494542555375,0.08090909,2.3991549769314853
3,0.089431815,2.3980112734707917,0.08090909,2.3993140576102516
4,0.09102273,2.3980037038976496,0.08090909,2.399329448179765
5,0.09181818,2.3980105781555174,0.08409091,2.399284221475775
6,0.08897727,2.3981210812655362,0.08227273,2.399355922178789
7,0.09340909,2.398024786168879,0.08090909,2.399355871894143
8,0.09181818,2.3980022144317625,0.08090909,2.3992370614138516
9,0.08977272,2.397993869781494,0.08090909,2.399439878463745
10,0.09125,2.398042327707464,0.08090909,2.399437905224887
11,0.09340909,2.3979936053536157,0.08090909,2.3994183895804664
12,0.09340909,2.398005238446322,0.08090909,2.3995163813504305
13,0.087613635,2.3980049948258833,0.08090909,2.3995013592459937
14,0.09159091,2.397999996705489,0.08090909,2.399252604571256
15,0.09136364,2.3979922129891134,0.08090909,2.399394054412842
16,0.09340909,2.3979712746360087,0.08090909,2.399397067156705
17,0.08954545,2.397958237908103,0.08090909,2.3993302553350273
18,0.09340909,2.397986749302257,0.08090909,2.3993102541836824
19,0.091136366,2.397995182384144,0.08090909,2.399306873841719
20,0.092045456,2.397951943657615,0.08090909,2.3993581156297163
21,0.091136366,2.397966920679266,0.08090909,2.3993641844662754
22,0.09102273,2.397978485280817,0.08090909,2.3994398307800293
23,0.08920454,2.397983256253329,0.08090909,2.399477692517367
24,0.089431815,2.3979894508015027,0.08090909,2.399399234598333
