epoch,acc,loss,val_acc,val_loss
0,0.28045455,1.8508111541921441,0.34863636,1.665178061398593
1,0.36454546,1.6366604852676392,0.3531818,1.63347262469205
2,0.39022726,1.5815200168436223,0.35681817,1.6146740219809792
3,0.41454545,1.5416658954186873,0.37227273,1.6037510351701216
4,0.4428409,1.4798027220639316,0.3668182,1.6389039234681564
5,0.4769318,1.4115279843590476,0.36727273,1.6686237998442217
6,0.52363634,1.2974999397451228,0.36636364,1.73728506044908
7,0.58454543,1.1555452544038947,0.35863635,1.9326134599338878
8,0.66420454,0.9462811917608435,0.33409092,2.3491788664731112
9,0.7514773,0.7090407863530246,0.34363636,2.7232770989157937
10,0.83431816,0.4975970605286685,0.33863637,3.2359824189272794
11,0.8965909,0.3054469553178007,0.31772727,4.14777058688077
12,0.94193184,0.17279950059273025,0.32636362,5.426807923750444
13,0.95272726,0.15575032656843013,0.33,5.759221980355003
14,0.97261363,0.08527693583884022,0.34772727,6.434862436814742
15,0.9775,0.07238445869138972,0.33136365,6.99218280098655
16,0.9548864,0.14086925189434127,0.3159091,6.548013310865922
17,0.9743182,0.07659697763198478,0.33272728,7.2094397406144575
18,0.9871591,0.04052461066304452,0.30863637,8.075731169960715
19,0.9728409,0.0933005720178004,0.31954545,7.325977257815274
20,0.9786364,0.07239321788434278,0.31181818,7.900633128773082
21,0.98545456,0.04918153405528177,0.33045456,8.475043896761807
22,0.98829544,0.03651592028189705,0.32636362,8.93288032878529
23,0.9790909,0.05995816767893054,0.32136363,8.272502777793191
24,0.9730682,0.08750379258735021,0.32181817,7.696257190704346
