epoch,acc,loss,val_acc,val_loss
0,0.37170455,1.6080726992000234,0.5418182,1.073169830495661
1,0.5946591,0.9255675659396432,0.56454545,0.8639386560700156
2,0.69613636,0.6826083719730377,0.7218182,0.5754346519166773
3,0.7219318,0.6014435783299533,0.63545454,0.6945602425661954
4,0.7539773,0.5259171657128767,0.73045456,0.5027241735024885
5,0.7810227,0.46880382808772003,0.8068182,0.4086575315215371
6,0.8132955,0.3873001047156074,0.74227273,0.4983416866172444
7,0.8247727,0.340123480070721,0.825,0.3523396080190485
8,0.8290909,0.33572826694358476,0.79545456,0.38790395639159464
9,0.82693183,0.34714521833441475,0.82454544,0.35012829119508915
10,0.8421591,0.30633034437894824,0.7990909,0.4220941439541903
11,0.8503409,0.28734392260963265,0.80636364,0.38270197358998387
12,0.85136366,0.28849676503376526,0.7854546,0.47422931031747295
13,0.8584091,0.27082463152029296,0.82772726,0.38129186164249074
14,0.8646591,0.25805604780262165,0.82863635,0.39171541560779916
15,0.85147727,0.30612180522897026,0.8190909,0.3833300543915142
16,0.87511367,0.24122573825446042,0.82045454,0.37652890758080915
17,0.87227273,0.24983167347582905,0.8263636,0.3787476355379278
18,0.88443184,0.22511741578578948,0.8209091,0.4255150219527158
19,0.8784091,0.23597785737026822,0.79,0.4508104791424491
20,0.8806818,0.23247745844450865,0.82863635,0.3974225775762038
21,0.89011365,0.22067077932032672,0.80863637,0.4323454541509802
22,0.8965909,0.2061414531415159,0.82772726,0.4155723622712222
23,0.90261364,0.20125224842266604,0.83181816,0.4275426802851937
24,0.90113634,0.20942201105708425,0.81772727,0.4660763804479079
