epoch,acc,loss,val_acc,val_loss
0,0.084545456,2.3984540341117166,0.087272726,2.3984870780598033
1,0.08556818,2.3979810281233354,0.086363636,2.398960619839755
2,0.08988637,2.3979601019079033,0.08681818,2.399219854528254
3,0.08806818,2.397981453808871,0.08681818,2.3994846855510366
4,0.09068182,2.3979732166637073,0.08681818,2.3995998148484663
5,0.087613635,2.397924585342407,0.08681818,2.3996883973208343
6,0.085795455,2.397948803468184,0.08590909,2.399671571037986
7,0.09181818,2.3979696915366433,0.086363636,2.399769066030329
8,0.091477275,2.397929152575406,0.08590909,2.3997466902299363
9,0.085795455,2.397945134422996,0.08590909,2.399702453613281
10,0.08988637,2.3979748370430687,0.08681818,2.3998006985404277
11,0.08795454,2.397960724397139,0.08590909,2.399690628051758
12,0.091477275,2.397934402986006,0.08590909,2.399706648913297
13,0.0875,2.397975828864358,0.08590909,2.399680526906794
14,0.08420455,2.397930938547308,0.086363636,2.3996550958806817
15,0.08681818,2.3979568680849943,0.08590909,2.3996979063207453
16,0.08681818,2.3979549009149723,0.08681818,2.3997056796334006
17,0.08738636,2.3979446055672384,0.086363636,2.399716388528997
18,0.08568182,2.3979441209272907,0.08590909,2.3996977866779674
19,0.08920454,2.3979564302617855,0.086363636,2.399725838574496
20,0.08863636,2.3979627513885498,0.08590909,2.3997317426854914
21,0.08840909,2.397961287064986,0.08590909,2.3996347054568203
22,0.088181816,2.397934712496671,0.08590909,2.3995746915990654
23,0.08829545,2.3979565178264273,0.086363636,2.3997759767012163
24,0.08511364,2.3979560236497357,0.08681818,2.399730187329379
